======================================================================
com.apple.WebKit.WebContent [19340]: 64-bit    Footprint: 25 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
  15 MB        0 B          0 B          6    WebKit malloc
3344 KB        0 B          0 B        416    MALLOC_SMALL
2048 KB        0 B          0 B          3    Owned physical footprint (unmapped) (graphics)
1239 KB        0 B          0 B        540    __DATA_DIRTY
 816 KB        0 B          0 B          3    JS JIT generated code
 726 KB        0 B          0 B        580    __DATA
 577 KB        0 B          0 B          1    page table
 416 KB        0 B          0 B         26    stack
 288 KB        0 B          0 B        545    JS VM Gigacage
 272 KB        0 B          0 B          8    MALLOC metadata
 240 KB        0 B          0 B          1    MALLOC_TINY
 195 KB        0 B          0 B       1565    unused dyld shared cache area
 112 KB        0 B          0 B          8    untagged (VM_ALLOCATE)
  80 KB        0 B          0 B          4    app-specific tag 2
  64 KB        0 B          0 B        340    __AUTH
  48 KB        0 B          0 B          2    __TPRO_CONST
  32 KB        0 B          0 B          2    ColorSync
  16 KB        0 B          0 B        630    __DATA_CONST
  16 KB        0 B          0 B          1    CoreServices
  16 KB        0 B          0 B          1    os_alloc_once
    0 B    5040 KB          0 B         23    mapped file
    0 B      16 KB          0 B        648    __TEXT
    0 B      16 KB          0 B          3    __LINKEDIT
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B          1    dyld private memory
    0 B        0 B          0 B          3    app-specific tag 1
    0 B        0 B          0 B        626    __AUTH_CONST
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B         48    guard
    ---        ---          ---        ---    ---
  25 MB    5072 KB          0 B       6038    TOTAL

Auxiliary data:
    phys_footprint: 25 MB
    phys_footprint_peak: 40 MB

